Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
Pherion’s Madness,Novice,DIVINE,Spells,3,,2,,,Target is affected by rampage for a minute. Mental Effect. Call “Pherion’s madness. Mind. Rampage 1 min.”
Risky Alteration,Novice,DIVINE,Spells,2,,1,,,Target gains +2 damage for 5 minutes. And then has -2 damage for 5 minutes.
Share My Pain,Novice,DIVINE,Spells,3,,2,Raise a Zombie Drudge,,"Target drudge you control within the next 10 seconds can have a spell (only from you) cast within it, that spell becoming latent and then invokable by the drudge as if the drudge cast it."
Spit Vile Acid,Novice,DIVINE,Spells,2,,1,,,Target is Blind for 15 seconds. Targets with Vile Affinity are immune. Call “Spit vile acid. Blind 15 Seconds. No affect to Vile.”
Raise a Zombie Drudge,Novice,DIVINE,Spells,3,,2,,,"Target in any stage of their Death Count or dead is raised as an undead mindless drudge, bound to the will of the caster. Target’s Death Count pauses until drudge ends. Duration: 15 mins. Once zombie drudge dies, it may not be raised again in this way. Can be dispelled by caster at will. A helpful chart has been created so that you can print out this list for your drudge’s convenience. While drudge is active, target cannot use any of their normal stats and are replaced with the following:"
Field Surgery,Novice,ACADEMIC,Passives,3,,,First Aid,,"While using Any Academic healing talent, you can now move yourself and your target at a heel to toe pace without interrupting the skill. This also allows you to move a stabilized target."
First Aid Proficiency,Novice,ACADEMIC,Passives,3,,,First Aid,1,You permanently heal +1 when using First Aid.
Focused Talent,Novice,ACADEMIC,Passives,4,,,,,"While performing a talent, you can spend 1 Steam and call “Concentration” to stop your talent from being interrupted due to damage. Can be used multiple times while using the same talent."
Knowledge,Novice,ACADEMIC,Passives,2,,,,,"Knowledges grant the character all kinds of information that the player might not know or remember. Marshals will often challenge knowledges and give out information based on the knowledge and knowledge level. Each knowledge starts at level 1. The higher your knowledge level, the deeper the information you know. The highest knowledge level is 5. This skill can be purchased multiple times to gain use of multiple different knowledges. Choose 1 knowledge from the following list to permanently gain use of it: Click For Table of Contents"
Knowledge Proficiency,Novice,ACADEMIC,Passives,3,,,Knowledge,,"You have studied more about a certain subject and have a more in-depth understanding of that knowledge. Pick a knowledge skill that you know. That knowledge increases by +1 level, increasing the amount of information you can gain when using a knowledge. This skill can only be used to increase a knowledge up to level 3."
Literacy Other,Novice,ACADEMIC,Passives,3,,,,,"Choose one of the following Languages: Elatum, Tuathan, or Sjrogham. You can speak and read that language. For others to understand that you are speaking a Literacy Other, say the name of the language at the beginning and end of each sentence. Example: “Elatum. Where is the nearest Library?  Elatum. I need to study more. Elatum.” When writing in a Literacy other, you can either write in the language’s alphabet, as seen in the Book of Lore, or you can write in common with marshal note stating the language that you are writing in. There is a better chance of getting RP points for writing in that language’s alphabet."
Multi-tasker,Novice,ACADEMIC,Passives,4,,,First Aid,,You can use two different Academic healing talents on the same target at the same time.
Research,Novice,ACADEMIC,Passives,3,,,2 Knowledges,,"You have learned the correct sources that you need to study a subject in depth. You may research 1 topic to gain more information about it. This topic must relate to one of your knowledges. Write down the question or statement that you wish to research, along with your knowledge and knowledge level, on your character card. The response and amount of information that you gain is up to the plot marshal."
Restore Natural Armor,Novice,ACADEMIC,Passives,2,,,First Aid,,"When you use First Aid on a target with Rended Natural Armor, they regain 1 point of Natural Armor Rating per use of the talent."
Appraisal,Novice,ACADEMIC,Talents,2,,,at least 1 Knowledge,,Spend 1 min studying a “Treasure” item. Treasure is an item that has no mechanics but has an IG value which will be marked on the physrep. Example: gems or jewelry. You can tell the value of the item.
Assess,Novice,ACADEMIC,Talents,2,,,Knowledge Medicine,,Physically roleplay looking over target for 5 seconds. Allows you to tell what stage of Death Count a character is in and how much Vaea they have. You must be within arm’s distance of the target.
Bloodlet,Novice,ACADEMIC,Talents,4,,,Knowledge Medicine,,Spend 30 seconds RPing removing blood from the target. Target is cured of 1 Poison effect.
Diagnose,Novice,ACADEMIC,Talents,3,,,Assess,,Physically roleplay looking over target for 30 seconds. Allows you to tell what physical or biological status effects a character is being affected by. You must be within arm’s distance of the target.
First Aid,Novice,ACADEMIC,Talents,3,,,Knowledge Medicine,,"RP treating target for 15 seconds. Target heals 1 Vaea. If target is in their Death Count, the count stops when you start treating them. Alternatively, you may RP treating target in their Death Count for 5 seconds to pause their Death Count without healing them. This effect will end if the target is moved, attacked, or you move more than 5 feet away from them. You may stabilize multiple targets in this way."
Investigate,Novice,ACADEMIC,Talents,3,,,Knowledge Tactics,,Spend 1 minute inspecting your current area. Requires a marshal. You can then ask the marshal 2 questions about the area that would not be seen at first glance.
Snap Out of it,Novice,ACADEMIC,Talents,4,,,Knowledge Medicine,,Spend 5 seconds RPing with target that is incapacitated. Target wakes up.
Splint Limb,Novice,ACADEMIC,Talents,4,,,First Aid,,"Spend 30 seconds RPing with target. Target’s broken limb is cured. However, broken limb cannot be used for 5 mins."
Suture and Bond,Novice,ACADEMIC,Talents,4,,,Knowledge Medicine,,Spend 30 second RPing with target. Target is cured of Bleeding.
Harvesting Proficiency,Novice,CRAFTING AND LABOR,Passives,4,,,Gather Components,1,All components harvested through Gather Components have +1 rarity to a maximum of Very Rare.
Home at the Workshop,Novice,CRAFTING AND LABOR,Passives,3,,,any crafting bundle,,"Allows you to work on up to 5 items per use of this Between Event Action. Those 5 can be any combination of items being crafted or repaired (if you have the General Repair talent). When you use this Action, turn in the appropriate components to Logistics at the end of the Event and list what items you are making or repairing in your BEA. You cannot use any crafting augments on these items."
How Hard Could It Be,Novice,CRAFTING AND LABOR,Passives,3,,,General Repair,,"You can now use General Repair to repair items that are above the tier of your highest crafting bundle. The item must fall within one of your crafting bundles (excluding tier of course). The time it takes to do so is increased exponentially for each difference in tiers: 1 tier - Four times as long, 2 tiers - Five times as long, 3 tiers - Six times as long, 4 tiers - Seven times as long. Unlike General Repair, effects that reduce crafting time will not apply to repairing an item this way. Click For Table of Contents"
Kit Creation,Novice,CRAFTING AND LABOR,Passives,3,,,,,"While at a workbench, you can spend 3 of any combination of components and 1 minute to make a crafting kit. Crafting kits can be used once each anywhere to count as a workbench for the purposes of crafting one item (using augments on that item don’t count against this limit), Remaking a single item, or using a single talent that requires a workbench. If you are using an augment or ability such as Hybrid Mixture, Integrate Device, Smelting, or Dual Crafting, one crafting kit will work for all items involved. One crafting kit is sufficient for everyone involved in a Collaborative Effort, as only one item is being made that way."
Profession,Novice,CRAFTING AND LABOR,Passives,2,,,,,"A character can earn money, components, or mundane finished products if they have a profession. You must pick up your “income” at logistics when registering for event, although money will be deposited into your Bank account. You do not collect your income if you forget to collect it. You may use 1 between event action in order to collect 1 stipend from your profession. The following are the categories, what they earn, and a few examples of what your profession could be. You may embellish or come up with a different profession as long as it falls under 1 of these categories and is approved by a plot marshal. For a more expanded list of professions, please contact a Rules marshal. Pick 1 profession per purchase of the skill. During an NPC shift you will earn half your stipend (rounded down in the case of components). “Legitimate” Professions Between Event Stipends o Agricultural: Earns 8 Common Components. Choose 1 type of Component when deciding your profession. (Examples: Farmer, Hunter, and Miner) o Artisan: Earns 10 Gold and can bring in non-mechanical items based on your profession. (Examples: Blacksmith, Brewer, Carpenter, Chef, Jeweler, Merchant, Sartor, Writer) o Entertainment: Earns 10 Gold (Examples: Actor, Bard/ Minstrel, Boxer/ Brawler) o Service: Earns 10 Gold (Examples: Banker, Bodyguard, Bounty hunter, Butler/Maid, Courier, Executioner, Inn Keeper, Mercenary, Militia, Physician, Scout, Soldier, Teacher) o Transport: Earns 10 Gold (Examples: Caravan Driver, Airship/Nautical Sailor, Steam Train Conductor) “Illicit” Professions Between Event Stipends o Goods Procurement: Earns 8 Common Components and can bring in non-mechanical items based on your profession. Choose 1 type of Component when deciding your profession. (Examples: Arms Dealer, Drug Dealer, Fence, Freebooter (Pirate), Poacher, Smuggler, Tomb Raider) o Monetary Redistribution: Earns 10 Gold (Examples: Bookie, Con Artist, Money Lender) o Dispensation Assistants: Earns 10 Gold (Examples: Cutthroat, Enforcer, Informant, Saw Bones) o Entertainment: Earns 10 Gold and can bring in any non-mechanical items. (Examples: Florist, Gambler)"
Prospecting,Novice,CRAFTING AND LABOR,Passives,4,,,Profession,1,The stipend for your Professions which award components permanently give either +1 component or +1 rarity for all components given (chosen per use of the skill).
Raise,Novice,CRAFTING AND LABOR,Passives,3,,,Profession,1,The stipend for your Professions which award gold now permanently gives +5 gold. Every other purchase of this skill gives +10 gold instead.
Maker’s Style: Jury Rig,Novice,CRAFTING AND LABOR,Passives,2,,,any crafting bundle,,"When making an item, you may choose to spend additional components on it. For each additional time, you meet the item’s component cost again, reduce the final pool cost after any augments are applied by 1 point to a minimum of 0. An item can only have one Maker’s Style applied to it at a time. This ability is not considered an augment."
Maker’s Style: Rush Job,Novice,CRAFTING AND LABOR,Passives,2,,,any crafting bundle,,"When making an item, you may choose to halve the final crafting time after any augments are applied (to a minimum of 1 minute). If you do, then the pool cost of the item increases by 1 point and another 1 point for each augment applied to it. An item can only have one Maker’s Style applied to it at a time. This ability is not considered an augment."
Maker’s Style: Slow and Steady,Novice,CRAFTING AND LABOR,Passives,2,,,any crafting bundle,,"When making an item, you may choose to halve the final pool cost after any augments are applied, rounded down to a minimum of 0. If you do, the crafting time is increased by 5 minutes and another 5 minutes for each augment applied to it. An item can only have one Maker’s Style applied to it at a time. This ability is not considered an augment."
Mend Construct,Novice,CRAFTING AND LABOR,Passives,1,,,either Knowledge Engineering or Mineralogy,,You can now use any physical healing talents on constructs.
Use Device,Novice,CRAFTING AND LABOR,Passives,3,,,,1,You can now use engineer devices that have a requirement of Use Novice Device. Each purchase increases the tier of devices that you can use (to a maximum of Journeyman).
Use Master Device,Novice,CRAFTING AND LABOR,Passives,6,,,"Use Journeyman Device, Knowledge Engineering Level 2",,You can now use engineer devices that have a requirement of Use Master Device.
Alchemist Bundle: Novice Tonics,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Alchemy,,You can make all items in this crafting bundle by following the crafting rules.
Alchemist Bundle: Novice Toxins,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Alchemy,,You can make all items in this crafting bundle by following the crafting rules.
Engineer Bundle: Novice Gadgets,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Engineering,,You can make all items in this crafting bundle by following the crafting rules.
Engineer Bundle: Novice Hazards,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Engineering,,You can make all items in this crafting bundle by following the crafting rules.
Inscriptionist Bundle: Novice Sources,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Arcana,,You can make all items in this crafting bundle by following the crafting rules.
Inscriptionist Bundle: Novice Implements,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Arcana,,You can make all items in this crafting bundle by following the crafting rules.
Smith Bundle: Novice Armor Pieces,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Mineralogy or Nature,,You can make all items in this crafting bundle by following the crafting rules.
Smith Bundle: Novice Weapon Bases,Novice,CRAFTING AND LABOR,Passives,2,,,Knowledge Mineralogy or Nature,,You can make allitems in this crafting bundle by following the crafting rules.
Detect Booby Trap,Novice,CRAFTING AND LABOR,Talents,1,,,Knowledge Engineering,,Functions as Detect Traps but only applies to Engineer booby traps.
Disarm Novice Booby Trap,Novice,CRAFTING AND LABOR,Talents,2,,,Detect Booby Trap,,"Disarms a Novice booby trap if you have detected it first. Does not work on traps made with Guile talents, even if they were made with engineered devices."
Dissect Components,Novice,CRAFTING AND LABOR,Talents,3,,,Knowledge Medicine or Nature,,"Must spend the talent time RPing harvesting from a target who is either dead or in their second or Third Stage Death Count. This ability will not work on Mortals unless they are also Elementals. You gain 1 component from the target. The type and rarity of the component is based on the NPC. If the target wasn’t dead by the time you finished the minute of harvesting, they immediately fall into the Third Stage of their Death Count."
Gather Components,Novice,CRAFTING AND LABOR,Talents,3,,,Knowledge Mineralogy or Nature,,"Must spend talent time RPing harvesting from one of the component nodes. You gain 1 Common component appropriate to the node you’re at and what Knowledge you have. You can only harvest minerals if you have Knowledge Mineralogy and you can only harvest plants and animals if you have Knowledge Nature. Aether Veins give 1 mineral, Vernal Flowers give 1 plant, Autumnal Remains give 1 animal, and Lunaar Ores and Solaar Dews each give 1 of any type of component of choice. You do not buy this talent multiple times to be able to harvest each type of component, you only need to have the correct Knowledge."
General Repair,Novice,CRAFTING AND LABOR,Talents,3,,,any crafting bundle,,"Requires a workbench. Repairs any Sundered or Inert item to full Hardness and working condition (items that have been Destroyed cannot be repaired this way). The item’s tier must be equal to or lesser than your highest crafting bundle tier (if the item normally has no tier, consider it Novice). Anything that reduces crafting time applies to repairing as well (except for Maker’s Style: Rush Job). Takes a base of 10 minutes per tier or a base of 5 minutes instead if you can make the item. If you are repairing a suit of armor whose Armor Rating has been damaged by Rend or a similar effect, one use of General Repair will return that suit to its full Armor Rating. This process follows the rules for pausing crafting time based on item tier if interrupted."
Salvage Components,Novice,CRAFTING AND LABOR,Talents,3,,,either Knowledge Engineering or Mineralogy,,"Destroys the item beyond repair, and you get 1 component from it. The type and rarity of the component depends on what the item was made of. “Amass components” and “Harvest Affinity” will work with this talent. Doors, furniture, structures, constructs, magic items, and attached engineered limbs cannot be Destroyed this way. Breaking an item this way is loud; the usage count must be spoken at a normal speaking volume. If the item is already Sundered (including broken doors, furniture, structures, and dead constructs), this entire process takes just 1 minute and may be done quietly."
Augment: Empowered Alchemy,Novice,CRAFTING AND LABOR,Talents,4,,,any Alchemist bundle,1,"Can only be used when crafting a concoction. Adds +5 minutes and +2 pool to the item’s final crafting costs. When used on concoctions that directly affect Vaea, their effect is increased by 5 points. When used on other concoctions that have another numerical effect besides Vaea and duration, the numerical effect is increased by 1. You can do this to a concoction many times equal to how many purchases of this ability you have, paying the cost for the augment each time."
Augment: Extended Alchemy,Novice,CRAFTING AND LABOR,Talents,4,,,any Alchemist bundle,1,Can only be used when crafting a concoction. Adds +5 minutes and +2 pool to the item’s final crafting costs. Increases the duration of the concoction by one Click For Table of Contents
Augment: Ingested Alchemy,Novice,CRAFTING AND LABOR,Talents,1,,,any Alchemist bundle,,Can only be used when crafting a concoction. Adds +5 minutes and +2 pool to the item’s final crafting costs. All ingested alchemy deals Direct damage.
Augment: Viscid Alchemy,Novice,CRAFTING AND LABOR,Talents,3,,,any Alchemist bundle,,"Can only be used when crafting a concoction. Adds +5 minutes and +2 pool to the item’s final crafting costs.  Creates Viscid alchemy that can be applied to melee weapons. One dose will coat 1 melee weapon or up to 3 arrows, bolts, or thrown weapons. In order to affect a target, the viscid Poison must deal at least 1 damage to the target’s Vaea. The blade Poison is expended if it effects the target or is defended against with a skill (including immunity). If coated on a missile, it is also expended if it misses the target. Blade Poisons only stay coated on an item for 2 minutes before they fade."
Augment: Dust Alchemy,Novice,CRAFTING AND LABOR,Talents,3,,,any Alchemist bundle,,Can only be used when crafting a concoction. Adds +5 minutes and +2 pool to the item’s final crafting costs. Dusts are delivered via spell packet to instantly affect a single target and must be defended as a ranged or biological attack.
Detect Alchemy,Novice,CRAFTING AND LABOR,Talents,2,,,Knowledge Alchemy,,Spend 30 seconds RP examining target item. You can detect if there is alchemy in or on the item. You may have to ask a marshal or read marshal notes.
Augment: Boosted Grenades,Novice,CRAFTING AND LABOR,Talents,5,,,Novice Hazards bundle,1,"Can only be used when crafting a grenade. Adds +5 minutes and +2 pool to the item’s final crafting costs. The numerical Vaea damage and Vaea healing that this grenade deals is increased by 1. You can do this to a grenade many times equal to how many purchases of this ability you have, paying the cost for the augment each time."
Augment: Integrate Device,Novice,CRAFTING AND LABOR,Talents,3,,,any Novice Engineer bundle,,"Can only be used when crafting a device. Adds +5 minutes and +2 pool to the item’s final crafting costs. When you use this augment while crafting a device, you combine it with an already-made device to form one item. The second device must be one that you can make, and if it is a piece of apparel, it must share the same apparel slot (hat, goggles, coat, belt, cuffs, gloves, shoes). Devices from different tiers may be combined this way. Choose one of the devices to be the centerpiece (devices that are considered integration hubs can ONLY be centerpieces), then the second device is stored within or attached to it in some way. It is encouraged that the item’s physrep should appear as a hybrid of the two devices, but it is acceptable to have only the centerpiece device as the physrep (especially if you are trying to In-Game hide the fact that something else is hidden within the device)."
Overclock Gun,Novice,CRAFTING AND LABOR,Talents,4,,,Novice Hazards bundle,,"The next shot fired from the gun deals +1 damage for every 10 seconds you spend tinkering with it (to a max of +5 damage). If the shot is not fired within the next 30 seconds after you stop tinkering, the built-up tension in the gun causes it to backfire and become broken until repaired."
Recalibrate Device,Novice,CRAFTING AND LABOR,Talents,1,,,any Engineer crafting bundle,,One Inert device of a tier equal to or lower than your highest tier Engineer bundle becomes functioning again (including all integrated devices). Does not repair Sundered devices.
Augment: Foreign Scrolls,Novice,CRAFTING AND LABOR,Talents,1,,,Novice Sources bundle,,Can only be used when crafting a scroll. Add +5 minutes and +2 pool to the item’s final crafting costs. You write the scroll in any In-Game language that you know. Only characters who can read that language can invoke the scroll.
Empower Focus,Novice,CRAFTING AND LABOR,Talents,2,,,Novice Sources bundle,,Must be done at a workbench. Spells cast through one touched Spell Focus deal +1 damage and +1 healing for 1 hour.
Empower Talisman,Novice,CRAFTING AND LABOR,Talents,2,,,Novice Implements bundle,,Must be done at a workbench. One touched Talisman grants +1 Soak against spell damage for 1 hour. Characters can only benefit from 1 Empowered Talisman at a time.
Recharge Wand,Novice,CRAFTING AND LABOR,Talents,4,,,Novice Sources bundle,,"This skill fully recharges a wand. This skill must be done at a workshop and requires 3 minutes per tier of the wand being recharged, the skill to craft the wand being recharged, and the expenditure of a scroll of the spell that you wish to charge it with. A wand can only hold 1 type of spell at a time."
Transcribe Scroll,Novice,CRAFTING AND LABOR,Talents,6,,,Novice Sources bundle,,"This skill allows you to copy an existing scroll. Must be done at a workshop. It requires 2 minutes per rank of the scroll, 2 pool per rank of the scroll, and all of the components needed to create the scroll. This does not transfer any augments from the original scroll, but you may add your own augments to the new scroll by paying the additional time and pool. You can only transcribe a scroll you have the prerequisites to craft. However, you do not need to be able to understand or use the scroll, nor do you need to possess the feat, spell, or talent (or an assistant). The time to use this skill may not be reduced."
Ward Ornament,Novice,CRAFTING AND LABOR,Talents,2,,,"Novice Implements bundle, General Repair",,Must be done at a workbench. One touched Ornament gains a “Sunder Block” which can be invoked to prevent the next time that item would be Sundered.
Augment: Tempered Smithwork,Novice,CRAFTING AND LABOR,Talents,3,,,any Smith bundle,,"Can only be used when crafting a Smith item. Adds +5 minutes and +2 Pool to the item’s final crafting costs. The finished item’s Hardness is permanently increased by 1 (this stacks with any changes in Hardness that the weapon’s property gives, if any). Despite the name of this augment, it does in fact work on any Smith item, regardless of its materials."
Enhance Armor,Novice,CRAFTING AND LABOR,Talents,2,,,Novice Armor Pieces bundle,,Must be done at a workbench. One touched half/full-suit of armor gains an additional +1/+2 Armor Rating for 1 hour.
Enhance Shield,Novice,CRAFTING AND LABOR,Talents,2,,,Novice Armor Pieces bundle,,Must be done at a workbench. One touched shield gives its wielder +1 Natural Armor Rating for 1 hour that can’t be damaged by effects such as Rend.
Enhance Weapon,Novice,CRAFTING AND LABOR,Talents,2,,,Novice Weapon Bases bundle,,Must be done at a workbench. One touched weapon deals +1 damage for 1 hour. This can also be done to up to two 2 fist weapons or up to 10 arrows/bolts/throwing weapons. Target spell focus +1 spell damage or spell healing for the duration.
Self-Made Warrior,Novice,CRAFTING AND LABOR,Talents,3,,,any Smith bundle,,"You can make use of any weapons, shields, and armor you have made as though you had the appropriate Fighting Style and Armor Use abilities."
Artillery Style,Apprentice,COMBAT,Passives,8,,,"Knowledge Tactics, Long Gun Style",,"Allows you to use Artillery, cannons, and mortars. Artillery does a base of 6 damage."
Artillery Proficiency,Apprentice,COMBAT,Passives,7,,,Artillery Style,1,You permanently do +1 Damage with Artillery weapons. Every other purchase of this prof grants +2 instead of +1.
Battle Hardened,Apprentice,COMBAT,Passives,6,,,,1,This skill grants +1 natural armor.
Chain Armor Proficiency,Apprentice,COMBAT,Passives,4,,,Chain Armor Use,1,You gain +1 Armor Rating when wearing a half suit and +2 when wearing a full suit of armor.
Deflect Arrow,Apprentice,COMBAT,Passives,4,,,Deflect,,"You are aware of missile attacks. You can use deflect against physical ranged attacks, not guns. Call “Parry.”"
Favored Quarry,Apprentice,COMBAT,Passives,5,,,,,"(Pre-req: Knowledge based on chosen target: Nature for Natural, Arcana for Aether Creatures, Theology for Unnatural, Mineralogy for Constructs, Medicine or Culture for Mortals) Choose 1 Creature (Aberrations, Undead, Aether Creatures, Natural Creatures, and Constructs) or PC playable race type to be your favored quarry. Against your favored Quarry, you have a Steam efficiency and deal +1 physical numerical damage."
Florentine Fighter,Apprentice,COMBAT,Passives,6,,,Two Weapon Fighting,,You can now apply your main hand proficiencies to your off- hand weapon.
Fortitude,Apprentice,COMBAT,Passives,5,,,2 Permanent Natural Armor,,"If you are wearing no armor, your permanent Natural Armor value is doubled."
Hand and a Half Training,Apprentice,COMBAT,Passives,5,,,"One handed style, Two handed style",,"When using a Bastard weapon, you may use the higher of your one-handed or two-handed proficiencies, regardless of how the weapon is being wielded. (When wielded in two hands, every other proficiency grants +2 damage)."
I Said Dance,Apprentice,COMBAT,Passives,4,,,Firearm prof,,"If you miss the target OOG when using “Stun” with a firearm, your stun will still affect them if the bullet physrep lands within 5 feet of them. Call: “I said dance. Stun. 5 seconds.”"
Iron Fist,Apprentice,COMBAT,Passives,5,,,At least 1 Pugilist Prof,,Your fists count as having +1 hardness.
The Khan's Persistence,Apprentice,COMBAT,Passives,6,,,,,"This skill allows you to fight with any broken weapon, swinging for half the total damage you would normally swing for. This can be fixed with normal repair skills. If the weapon is broken a second time it is considered absolutely destroyed past the point of repair and can no longer be used. This skill does not work with broken limbs."
Leather Armor Proficiency,Apprentice,COMBAT,Passives,4,,,Leather Armor Use,1,You gain +1 Armor Rating when wearing a half suit and +2 when wearing a full suit of armor. Click For Table of Contents
Mental Strength,Apprentice,COMBAT,Passives,4,,,Willpower,,"When using the “Willpower” talent, you get 3 uses of ‘Willpower” instead of 1. You may only have 3 uses at a time. Stacks with other abilities that allow you to hold multiple charges."
Overlay Armor,Apprentice,COMBAT,Passives,7,,,2 Armor Use abilities,,"You can wear a half/ full suit of one type of armor (leather, chain, or plate) with a half/ full suit of another armor. Follows Armor Layering rules."
Parry,Apprentice,COMBAT,Passives,4,,,Deflect,,This skill allows you to use deflect for attacks from behind.
Plate Armor Proficiency,Apprentice,COMBAT,Passives,4,,,Plate Armor Use,1,You gain +1 Armor Rating when wearing a half suit and +2 when wearing a full suit of armor.
Strength of the Rhino,Apprentice,COMBAT,Passives,6,,,Strength +1,,This skill grants +1 Strength.
Unrendable,Apprentice,COMBAT,Passives,5,,,,,"When wearing armor, the Armor Rating that it grants can never be reduced to less than half of its total value. Your armor can still be broken or destroyed."
Walk it off,Apprentice,COMBAT,Passives,7,,,No Guts No Glory,,You can now stay standing and defend yourself while in stage 1 Death Count.
Whites of Their Eyes,Apprentice,COMBAT,Passives,5,,,,,"(Pre-req: At least 1 of the following: Pistol Fighting Style, Long Gun Fighting Style, or Marksman Fighting Style) When making Point Blank attacks, you can now use offensive feats with ranged weapons."
Armor adjustments,Apprentice,COMBAT,Talents,5,,,2 Armor Proficiencies,,You can adjust damaged armor to protect vital areas.  You must RP for 1 minute while adjusting the armor. You regain 2 Armor Rating. You can only do this 2 times for a half suit and 4 times for a full suit before your armor needs to be repaired.
Tactical Defense,Apprentice,COMBAT,Talents,6,,,Knowledge: Tactics,,Study the fight for 1 minute without participating in it. You can now use defensive feats with an efficiency of 2 for the next minute.
Break Binds,Apprentice,COMBAT,Feats,4,3,,Strength +1,,This feat may be used to instantly end a Constrict effect. Call “Break Binds. Strength +X.”
Break Limb,Apprentice,COMBAT,Feats,5,4,,Enfeeble,,"Strike Target’s limb. That limb is “Broken.” If it is an arm, they can no longer use it. If it is a leg, they cannot walk. Duration: until cured. Call” Break Limb. (Limb).”"
Cleave Magic,Apprentice,COMBAT,Feats,5,4,,Deflect,,"If you have this skill, you cannot use Master tier arcane spells. This feat will negate the effect of any single spell or Weapon casted strike that hits you from the front. This will only work on single target spells."
Critical Strike,Apprentice,COMBAT,Feats,6,4,,Fighting Style Prof x2,,"You swing x2 damage for one swing. All temporary damage modifiers, including those granted by other Feats, can be used in conjunction with this Feat, but such modifiers are all added in after this multiplication of base damage is calculated. Call “Crit Strike X damage.”"
Hamstring,Apprentice,COMBAT,Feats,4,3,,Enfeeble,,"Strike target in leg. Once struck, target is affected by “Hamstring” and must move at a heel-to-toe rate for 1 minute. Call “Hamstring 1 minute.”"
Ignore injury,Apprentice,COMBAT,Feats,4,3,,Adrenaline Rush,,Use immediately after getting attacked. Delays negative temporary physical or biological effects for 30 seconds.
Intimidate,Apprentice,COMBAT,Feats,4,3,,Taunt,,RP with target for 5 seconds.  Target is affected by “Fear.” This is a mental effect. Call “Intimidate. Perfect Aim. Fear. 1 minute.”
Iron Stomach,Apprentice,COMBAT,Feats,4,3,,Willpower,,The character ignores all effects from any ingested alchemy.
Knockback,Apprentice,COMBAT,Feats,4,3,,Trip,,Strike target in torso. Target is knocked back 10 steps. Call “Knockback 10 steps.”
Mighty Smash,Apprentice,COMBAT,Feats,4,3,,Strength +1,,This feat allows you to add your Strength to your Damage for your next strike. Can’t be used with guns or crossbows. This can be combined with other feats.
Piercing Shot,Apprentice,COMBAT,Feats,5,4,,at least 2 Ranged or Firearm Profs,,"Used with any ranged weapon, including guns. May be combined with any other ranged feat. If the ranged attack would be stopped by a weapon or shield, it will still count as having hit the target. Call “Piercing Shot” before the attack."
Protect,Apprentice,COMBAT,Feats,4,3,,Deflect,,"You can use this feat in response to someone within weapon’s distance of you being struck by a physical attack, magical attack, bullet, or alchemical dust. You will instead take the effect of that attack. You cannot defend against this attack. It will work on AOEs, however, if you and the target are both targets of the same AOE, you can “Protect” them, but you take the effect twice. It does not work on Greater, Surprise, or talents (unless a feat or spell is cast as a talent)."
Steel Bastion,Apprentice,COMBAT,Feats,6,4,,Deflect,,This is called immediately after being struck in melee and using deflect against the attack. Your attacker’s weapon is affected by “Sunder 2.”  Call “Deflect. Steel Bastion. Revenge Sunder 2.”
Throat Shot,Apprentice,COMBAT,Feats,5,4,,FS 1 handed or pugilist,,Strike target in the torso with small weapon or fists. Target is affected by “Silence” and cannot speak for 1 minute. Psionics will still work. Call “Throat Shot. Silence. 1 Minute.”
Throw,Apprentice,COMBAT,Feats,5,3,,Pugilist style and Knockback,,"Strike target in torso with two Claw/Fist weapons. Target is affected by “Knockback,” and must move 10 steps in the direction of your choice. Call “Knockback. 10 steps. (X Direction).”"
Trap Weapon,Apprentice,COMBAT,Feats,5,4,,Disarm,,"Strike target’s weapon. As long as physical contact is maintained, the weapon physreps are stuck together and cannot be used as normal. Knockback or physically dropping the weapon will break this power."
Trick Shot,Apprentice,COMBAT,Feats,5,3,,at least 1 Ranged or Firearm Prof,,"Delivered via any ranged attack, including guns. Target takes your weapon damage and a disarm effect in specified hand (your choice). Call “Trick shot. X damage. Disarm. X hand.”"
Antagonistic,Apprentice,GUILE,Passives,5,,,"Misdirection, Fast Talk",,"The character may now use the Misdirection feat from any angle, as they have better learned how to antagonize their enemies against each other."
Banditry,Apprentice,GUILE,Passives,8,,,Quick Reflexes,,"You can now get the full benefit from “Quick Reflexes” while wearing up to a half-suit of chain, or a full-suit of leather armor. You also gain Natural Armor equal to your permanent Soak, when wearing a half suit of chain, or a half/ full suit of leather armor. You cannot benefit from “Fancy Footwork” and this skill at the same time."
Black Market Contacts,Apprentice,GUILE,Passives,4,,,Gather Information,,"You have tapped into the local black market and may take advantage of the many services provided. You may use a between event action to buy and sell illegal wares, gather information specifically tied to the market and associated topics, or seek out illegal bounties. Selling items with this BEA can grant up to 10% more than normal sell price."
